m,fdr_cap,selected_alpha,selected_fdr,selected_sensitivity,selected_false_negative_rate,selected_expected_true_approvals,selected_expected_false_approvals,selected_expected_false_negatives,selected_reward,selected_approval_probability,selected_entry_rate,feasible_alpha_count
1,0.05,0.33,0.04957849222479242,0.8100050090119326,0.18999499098806738,0.5013561739182105,0.04957849222479242,0.11759823789435242,29.99999910593033,0.5509346661430035,0.927887646479627,33
2,0.05,0.26,0.047377766677442174,0.7831958276497408,0.21680417235025917,0.9695250256739976,0.0638817155500319,0.2683837979511283,22.249449491500854,0.5167033706120151,0.8571612568469472,27
5,0.05,0.26,0.048680944261756495,0.7477427185111531,0.25225728148884685,2.314093272615988,0.12299167535336047,0.7806787864468265,11.874205470085144,0.48741698959386975,0.7689778036986691,26
10,0.05,0.25,0.021418555542482634,0.690456263098197,0.30954373690180303,4.273609502082447,0.09384621477683178,1.9159346160431823,6.846910715103149,0.43674557168592787,0.6671176111477765,27
15,0.05,0.34,0.027524186300232508,0.7045666752581604,0.2954333247418396,6.541419781007216,0.1851684991797622,2.7428963961812287,4.459319114685059,0.44843921867913183,0.6671176111477765,37
20,0.05,0.32,0.0,0.6714553407177176,0.3285446592822824,8.31200490944678,0.0,4.067083326804479,3.6256952583789825,0.415600245472339,0.6107256683321244,37
25,0.05,0.6,0.03727133595069832,0.8107734754229279,0.18922652457707212,12.545795489840645,0.485701299667199,2.9280648054734293,2.302114963531494,0.5212598715803137,0.6592482019379551,60
30,0.05,0.62,0.0270773007512851,0.8537606774024011,0.14623932259759886,15.853168137308955,0.44120771554974647,2.7154642170679333,1.8496973812580109,0.5431458617619567,0.6433119226110134,62
35,0.05,0.73,0.030383792676340695,0.9017451584266659,0.09825484157333408,19.534870044858117,0.6121426569803189,2.1285343685815845,1.4890551567077637,0.575628934338241,0.6433119226110134,80
40,0.05,0.93,0.04699531003181639,0.9556734417524154,0.04432655824758458,23.660731720990157,1.1667764435080459,1.097444751512362,1.2044499814510345,0.6206877041124551,0.6513120925069572,90
50,0.05,0.99,0.0,0.9579917684284921,0.042008231571507904,29.647661577446716,0.0,1.3000590131814316,1.0091914236545563,0.5929532315489343,0.5941213968263215,99
60,0.05,0.99,0.0,0.8074787019148517,0.19252129808514828,29.98755029969273,0.0,7.149714409061044,1.004536896944046,0.4997925049948789,0.5003462509232597,99
80,0.05,0.99,0.0,0.6005861917126877,0.3994138082873123,29.7388378427419,0.0,19.77751510226313,1.00181445479393,0.3717354730342738,0.3719028758305624,99
